Key,File,Type,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
ocbCustomLight01,blocks,block,Powered Round Ceiling Light,Angetriebene runde Deckenleuchte,"Lámpara de techo redonda motorizada","Plafonnier rond alimenté",Plafoniera rotonda alimentata,"パワードラウンドシーリングライト","Zasilana okrągła lampa sufitowa",Luz de teto redondo com energia,"Круглый потолочный светильник с питанием","Elektrikli Yuvarlak Tavan Lambası","电动圆顶灯","電動圓頂燈","Lámpara de techo redonda motorizada","Захранване на кръгла таванна светлина","Napájené kulaté stropní světlo",Powered Round loftslampe,"Powered στρογγυλό φως οροφής","Elektritoitega ümmargune laevalgusti","Powered pyöreä kattovalaisin","Powered kerek mennyezeti lámpa",Lampu Plafon Bulat Bertenaga,"Maitinamas apvalus lubų šviestuvas","Apgaismots apaļš griestu gaismeklis",Aangedreven ronde plafondlamp,"Alimentat rotund plafonieră rotundă","Napájané okrúhle stropné svetlo",Powered Round Stropna svetilka,Powered Round Ceiling Light
ocbCustomLight01Desc,blocks,block,"Round ceiling lamp that also goes on walls. Color, beam angle and intensity can be adjusted.","Runde Deckenleuchte, die auch an Wänden angebracht werden kann. Farbe, Abstrahlwinkel und Intensität können eingestellt werden.","Lámpara de techo redonda que también se coloca en las paredes. Se puede ajustar el color, el ángulo del haz y la intensidad.","Plafonnier rond qui s'adapte également aux murs. La couleur, l'angle du faisceau et l'intensité sont réglables.","Lampada da soffitto rotonda che può essere installata anche a parete. Il colore, l'angolo del fascio e l'intensità possono essere regolati.","壁にもつく丸型シーリングランプ。色、照射角、照度の調整が可能です。","Okrągła lampa sufitowa, która sprawdzi się również na ścianach. Kolor, kąt wiązki i intensywność można regulować.","Lâmpada de teto redonda que também vai nas paredes. A cor, o ângulo e a intensidade do feixe podem ser ajustados.","Круглый потолочный светильник, который также подходит для стен. Цвет, угол и интенсивность луча можно регулировать.","Duvarlara da takılabilen yuvarlak tavan lambası. Renk, ışın açısı ve yoğunluğu ayarlanabilir.","圆形吸顶灯，也可以放在墙上。颜色、光束角度和强度都可以调整。","圓形吸頂燈，也可以放在墻上。顔色、光束角度和强度都可以調整。","Lámpara de techo redonda que también se coloca en las paredes. Se puede ajustar el color, el ángulo del haz y la intensidad.","Кръгла лампа за таван, която може да се постави и на стената. Цветът, ъгълът на лъча и интензивността могат да се регулират.","Kulaté stropní svítidlo, které lze umístit i na stěnu. Barvu, úhel a intenzitu světla lze nastavit.","Rund loftslampe, der også kan monteres på vægge. Farve, strålevinkel og intensitet kan justeres.","Στρογγυλό φωτιστικό οροφής που ταιριάζει και στους τοίχους. Το χρώμα, η γωνία δέσμης και η ένταση μπορούν να ρυθμιστούν.","Ümmargune laevalgusti, mis sobib ka seinale. Värvi, valgusvihu nurka ja intensiivsust saab reguleerida.","Pyöreä kattovalaisin, joka sopii myös seinälle. Väriä, sädekulmaa ja voimakkuutta voidaan säätää.","Kerek mennyezeti lámpa, amely a falra is megy. A szín, a fényszög és az intenzitás állítható.","Lampu plafon bundar yang juga bisa dipasang di dinding. Warna, sudut sinar dan intensitas dapat disesuaikan.","Apvalus lubinis šviestuvas, kurį galima kabinti ir ant sienų. Galima reguliuoti spalvą, spindulio kampą ir intensyvumą.","Apaļš griestu lampas, ko var piestiprināt arī pie sienām. Var regulēt krāsu, gaismas leņķi un intensitāti.","Ronde plafondlamp die ook aan de wand kan worden bevestigd. Kleur, stralingshoek en intensiteit kunnen worden aangepast.","Plafonieră rotundă care merge și pe pereți. Culoarea, unghiul fasciculului și intensitatea pot fi reglate.","Okrúhle stropné svietidlo, ktoré sa hodí aj na steny. Farbu, uhol a intenzitu lúča možno nastaviť.","Okrogla stropna svetilka, ki se poda tudi na stene. Barvo, kot žarka in jakost je mogoče prilagoditi.","Rund taklampa som också passar på väggar. Färg, strålningsvinkel och intensitet kan justeras."
ocbCustomLight02,blocks,block,Powered Neon Tube Light,"Angetriebene Neonröhrenleuchte","Tubo de luz de neón alimentado","Tube néon alimenté",Tubo luminoso al neon alimentato,"電源付きネオン管ライト",Powered Neon Tube Light,"Tubo de luz de néon","Неоновая лампа с питанием","Enerjili Neon Tüp Işık","供电氖管灯","供電氖管燈","Tubo de luz de neón alimentado","Захранване на неонова светлина Tube","Napájené neonové trubice Light","Neonrør med strømforsyning","Powered φως σωλήνα νέον",Powered Neon Tube Light,Powered Neon Tube Light,"Powered Neon cső fény",Lampu Tabung Neon Bertenaga,Powered Neon Tube Light,"Powered neona cauruļu gaisma",Aangedreven neon buis licht,Powered Neon Tube lumina tubului,"Napájané neónové trubicové svetlo",Powered Neon Tube Light,"Strömförsörjd neonrörslampa"
ocbCustomLight02Desc,blocks,block,"Neon tube ceiling or wall lamp. Color, beam angle and intensity can be adjusted.","Neonröhren-Decken- oder Wandleuchte. Farbe, Abstrahlwinkel und Intensität können eingestellt werden.","Lámpara de techo o de pared con tubo de neón. Se puede ajustar el color, el ángulo del haz y la intensidad.","Plafonnier ou applique à tube néon. La couleur, l'angle du faisceau et l'intensité peuvent être réglés.","Lampada da soffitto o da parete con tubo al neon. È possibile regolare il colore, l'angolo del fascio e l'intensità.","ネオン管天井・壁掛けランプ。色、照射角、照度の調整が可能です。","Neonowa lampa sufitowa lub ścienna. Kolor, kąt wiązki i intensywność można regulować.","Lâmpada de teto ou de parede com tubo de néon. A cor, o ângulo e a intensidade do feixe podem ser ajustados.","Потолочный или настенный светильник с неоновой трубкой. Цвет, угол луча и интенсивность можно регулировать.","Neon tüp tavan veya duvar lambası. Renk, ışın açısı ve yoğunluğu ayarlanabilir.","霓虹灯管天花板或壁灯。颜色、光束角度和强度都可以调整。","霓虹燈管天花[板闆]或壁燈。顔色、光束角度和强度都可以調整。","Lámpara de techo o de pared de tubo de neón. Se puede ajustar el color, el ángulo del haz y la intensidad.","Лампа с неонова тръба за таван или стена. Цветът, ъгълът на лъча и интензивността могат да се регулират.","Stropní nebo nástěnné svítidlo s neonovou trubicí. Barvu, úhel a intenzitu světla lze nastavit.","Neonrør til loft eller væglampe. Farve, strålevinkel og intensitet kan justeres.","Φωτιστικό οροφής ή τοίχου με σωλήνα νέον. Το χρώμα, η γωνία δέσμης και η ένταση μπορούν να ρυθμιστούν.","Neontoru lae- või seinalamp. Värvi, valgusvihu nurka ja intensiivsust saab reguleerida.","Neonputki katto- tai seinävalaisin. Väriä, sädekulmaa ja voimakkuutta voidaan säätää.","Neoncsöves mennyezeti vagy fali lámpa. A szín, a sugárzási szög és az intenzitás állítható.","Lampu langit-langit atau lampu dinding tabung neon. Warna, sudut sinar dan intensitas dapat disesuaikan.","Neoninis lubinis arba sieninis šviestuvas. Galima reguliuoti spalvą, spindulio kampą ir intensyvumą.","Neona lampas griestu vai sienas lampas. Var regulēt krāsu, gaismas leņķi un intensitāti.","Neon buis plafond- of wandlamp. Kleur, stralingshoek en intensiteit kunnen worden aangepast.","Plafonieră sau lampă de perete cu tub de neon. Culoarea, unghiul fasciculului și intensitatea pot fi reglate.","Stropné alebo nástenné svietidlo s neónovou trubicou. Farbu, uhol lúča a intenzitu možno nastaviť.","Stropna ali stenska svetilka z neonsko cevjo. Barvo, kot žarka in jakost je mogoče prilagoditi.","Tak- eller vägglampa med neonrör. Färg, strålningsvinkel och intensitet kan justeras."
ocbCustomLight03,blocks,block,Powered Recessed Spotlight,Elektrischer Einbaustrahler,Foco empotrable motorizado,"Spot encastré alimenté",Faretto da incasso alimentato,"電源付き埋め込み型スポットライト",Zasilany reflektor wpuszczany,"Focos de iluminação de encastrar com energia","Встраиваемый точечный светильник с питанием","Elektrikli Gömme Spot","电动凹槽射灯","電動凹槽射燈",Foco empotrable motorizado,"Захранван вграден прожектор","Zapuštěné reflektory s napájením",Elektrisk indbygningsspotlight,"Powered χωνευτός προβολέας","Elektriline süvistatav kohtvalgusti",Powered upotettu valonheitin,"Elektromos süllyesztett reflektor",Lampu Sorot Tersembunyi Bertenaga,"Įleidžiamas įleidžiamas prožektorius","Iebūvējams iebūvēts prožektors",Aangedreven inbouwspot,"Powered Spotlight încastrat","Zapustené reflektory s napájaním",Pogonski vgradni reflektor,"Drivna infällda strålkastare"
ocbCustomLight03Desc,blocks,block,"Small recessed spotlight. Color, beam angle and intensity can be adjusted.","Kleiner Einbaustrahler. Farbe, Abstrahlwinkel und Intensität können eingestellt werden.","Pequeño foco empotrado. Se puede ajustar el color, el ángulo del haz y la intensidad.","Petit projecteur encastré. La couleur, l'angle du faisceau et l'intensité peuvent être réglés.","Piccolo faretto da incasso. Il colore, l'angolo del fascio e l'intensità possono essere regolati.","小型の埋め込み型スポットライト。色、照射角、照度の調整が可能です。","Mały reflektor wpuszczany. Możliwość regulacji koloru, kąta padania światła i intensywności.","Pequenos holofotes encastrados. A cor, o ângulo e a intensidade do feixe podem ser ajustados.","Небольшой встраиваемый прожектор. Цвет, угол луча и интенсивность можно регулировать.","Küçük gömme spot ışığı. Renk, ışın açısı ve yoğunluğu ayarlanabilir.","小型嵌入式聚光灯。颜色、光束角度和强度都可以调整。","小型嵌入式聚光燈。顔色、光束角度和强度都可以調整。","Pequeño foco empotrado. Se puede ajustar el color, el ángulo del haz y la intensidad.","Малък прожектор за вграждане. Цветът, ъгълът и интензитетът на лъча могат да се регулират.","Malý vestavný reflektor. Barvu, úhel a intenzitu světla lze nastavit.","Lille indbygningsspot. Farve, strålevinkel og intensitet kan justeres.","Μικρός χωνευτός προβολέας. Το χρώμα, η γωνία δέσμης και η ένταση μπορούν να ρυθμιστούν.","Väike sisseehitatud kohtvalgusti. Värvi, valgusvihu nurka ja intensiivsust saab reguleerida.","Pieni upotettu valonheitin. Väriä, sädekulmaa ja voimakkuutta voidaan säätää.","Kis süllyesztett spotlámpa. A szín, a sugárzási szög és az intenzitás állítható.","Lampu sorot kecil yang tersembunyi. Warna, sudut sinar dan intensitas dapat disesuaikan.","Nedidelis įleidžiamas prožektorius. Galima reguliuoti spalvą, spindulio kampą ir intensyvumą.","Mazs iebūvēts prožektors. Var regulēt krāsu, gaismas leņķi un intensitāti.","Kleine inbouwspot. Kleur, stralingshoek en intensiteit kunnen worden aangepast.","Spot mic încastrat. Culoarea, unghiul fasciculului și intensitatea pot fi reglate.","Malé zapustené reflektory. Farbu, uhol a intenzitu lúča možno nastaviť.","Majhen vgradni reflektor. Barvo, kot žarka in jakost je mogoče prilagoditi.","Liten infälld spotlight. Färg, strålningsvinkel och intensitet kan justeras."
xuiLightModeOn,UI,Menu,Kelvin,Kelvin,Kelvin,Kelvin,Kelvin,"ケルビン",Kelvin,Kelvin,"Кельвин",Kelvin,"凯尔文","凱爾文",Kelvin,"Келвин",Kelvin,Kelvin,Kelvin,Kelvin,Kelvin,Kelvin,Kelvin,Kelvinas,Kelvins,Kelvin,Kelvin,Kelvin,Kelvin,Kelvin
xuiLightModeOff,UI,Menu,Color,Farbe,Color,Couleur,Colore,"カラー",Kolor,Cor,"Цвет",Renk,"颜色","顔色",Color,"Цвят",Barva,Farve,"Χρώμα","Värv","Väri","Színes",Warna,Spalva,"Krāsa",Kleur,Culoare,Farba,Barva,"Färg"
xuiIntensity,UI,Menu,Intensity,"Intensität",Intensidad,"Intensité","Intensità","インテンシティ","Intensywność pomocy",Intensidade,"Интенсивность","Yoğunluk","强度","强度",Intensidad,"Интензивност",Intenzita,Intensitet,"Ένταση","Abi osatähtsus",Tuen intensiteetti,"Támogatás intenzitása",Intensitas,Intensyvumas,"Intensitāte",Intensiteit,Intensitate,Intenzita,Intenzivnost,Intensitet
xuiRange,UI,Menu,Range,Bereich,Gama,Gamme,Gamma,"レンジ",Zakres,Gama,"Диапазон",Menzil,"范围","[范範]圍",Gama,"Обхват",Rozsah,"Område","Εύρος",Range,Valikoima,"Tartomány",Rentang,Diapazonas,Diapazons,Bereik,Gama,Rozsah,Razpon,Utbud
